split,horizon,model,n,MAE,R2
test,1,boosting,191,3836.3172013020917,0.8097163136070809
test,1,boosting_news,191,3569.7038866102134,0.836788030065728
test,1,chronos,191,3048.009520206152,0.8801851394583178
test,1,last,191,2691.0785340314137,0.9016738727309059
test,1,prophet,191,2516.9373439706133,0.9250395923293139
test,1,ridge,191,2928.063980914244,0.9129733400266332
test,1,seasonal,191,4317.722513089006,0.8345667519219151
test,1,seasonal_scaled,191,904.7869234529412,0.986513358162886
test,3,boosting,191,2786.4433956638727,0.9131111548495123
test,3,boosting_news,191,3360.586011705809,0.8765302190405886
test,3,chronos,191,3985.0111358802355,0.8029019246710868
test,3,last,191,3561.324607329843,0.839642851666629
test,3,prophet,191,2284.094621216486,0.937794888636414
test,3,ridge,191,2842.0854710663693,0.9161399612451044
test,3,seasonal,191,4317.722513089006,0.8345667519219151
test,3,seasonal_scaled,191,996.834314403015,0.9850504542886847
validation,1,boosting,191,1609.4518956813336,0.9513724883496688
validation,1,boosting_news,191,1609.4518956813336,0.9513724883496688
validation,1,chronos,191,1745.1837675883507,0.9551141511490066
validation,1,last,191,894.7225130890052,0.9818331359715252
validation,1,prophet,191,1200.7723473939434,0.9798165002131259
validation,1,ridge,191,2350.1077976887705,0.9316948150321198
validation,1,seasonal,191,4561.0366492146595,0.7771831885271525
validation,1,seasonal_scaled,191,1186.510023054306,0.9795813055663326
validation,3,boosting,569,1981.5923892909288,0.934067659123536
validation,3,boosting_news,569,1642.6448498670513,0.9536282239049452
validation,3,chronos,569,2713.931422657623,0.8946400967390332
validation,3,last,569,1338.3268892794376,0.9578012882417768
validation,3,prophet,569,1253.4587675459504,0.9793574653330839
validation,3,ridge,569,3478.5247936492947,0.8387957874834061
validation,3,seasonal,569,4531.27065026362,0.796527562797738
validation,3,seasonal_scaled,569,1248.2033351163686,0.9788693217106974
