split,horizon,origin,model,seconds
validation,1,15,last,0.0031559000199194998
validation,1,15,seasonal,0.0017118999967351556
validation,1,15,seasonal_scaled,0.005160600005183369
validation,1,15,ridge,0.5143386000127066
validation,1,15,boosting,0.7354516000195872
validation,1,15,boosting_news,22.497439400001895
validation,1,15,prophet,18.29001889997744
validation,1,16,last,0.0016354999970644712
validation,1,16,seasonal,0.0013112000015098602
validation,1,16,seasonal_scaled,0.0036102999874856323
validation,1,16,ridge,0.6028993999934755
validation,1,16,boosting,1.0830510999949183
validation,1,16,boosting_news,26.658582400006708
validation,1,16,prophet,13.965611500025261
validation,1,17,last,0.001732600008836016
validation,1,17,seasonal,0.0011380999931134284
validation,1,17,seasonal_scaled,0.003197099984390661
validation,1,17,ridge,0.781963999994332
validation,1,17,boosting,1.1979159999755211
validation,1,17,boosting_news,43.593227800010936
validation,1,17,prophet,15.02757509998628
validation,3,15,last,0.002202900010161102
validation,3,15,seasonal,0.0015993999841157347
validation,3,15,seasonal_scaled,0.0037936000153422356
validation,3,15,ridge,1.0665004999900702
validation,3,15,boosting,1.571468099980848
validation,3,15,boosting_news,48.37919219999458
validation,3,15,prophet,14.4072773999942
validation,3,16,last,0.002213700005086139
validation,3,16,seasonal,0.0014279999886639416
validation,3,16,seasonal_scaled,0.0035905000113416463
validation,3,16,ridge,2.0841885000118054
validation,3,16,boosting,2.0478449999936856
validation,3,16,boosting_news,69.00512469999376
validation,3,16,prophet,14.377680599980522
validation,3,17,last,0.0016359000001102686
validation,3,17,seasonal,0.0014567000034730881
validation,3,17,seasonal_scaled,0.004159899981459603
validation,3,17,ridge,1.9668352000007872
validation,3,17,boosting,2.248777400003746
validation,3,17,boosting_news,84.48534959999961
validation,3,17,prophet,11.626550600019982
test,1,21,last,0.0014127999893389642
test,1,21,seasonal,0.0012889000063296407
test,1,21,seasonal_scaled,0.003191199997672811
test,1,21,ridge,1.2085727999801748
test,1,21,boosting,1.7497022000025027
test,1,21,boosting_news,54.117356000002474
test,1,21,prophet,13.333659399999306
test,1,22,last,0.0014919999812263995
test,1,22,seasonal,0.001199700025608763
test,1,22,seasonal_scaled,0.003187499998603016
test,1,22,ridge,1.3645448999886867
test,1,22,boosting,1.7755211000039708
test,1,22,boosting_news,61.099758099997416
test,1,22,prophet,13.42666029999964
test,1,23,last,0.001414800004567951
test,1,23,seasonal,0.0013386000064201653
test,1,23,seasonal_scaled,0.0032848999835550785
test,1,23,ridge,1.465393899998162
test,1,23,boosting,1.9725167000142392
test,1,23,boosting_news,66.42644059998565
test,1,23,prophet,13.407744500000263
test,3,21,last,0.001554400019813329
test,3,21,seasonal,0.0013485999952536076
test,3,21,seasonal_scaled,0.003062099975068122
test,3,21,ridge,3.206884799990803
test,3,21,boosting,3.6674289000220597
test,3,21,boosting_news,129.10690320000867
test,3,21,prophet,11.963615000015125
